name,address,cuisine,average_price,rating,reviews,offer,url,is_excluded
Indian Rasoi Restaurant,"7 Denmark Terrace, N2 9HG, London",Indian,20,9.3,414,50,https://www.thefork.co.uk/restaurant/indian-rasoi-restaurant-r821285#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Rockwell Bistro & Wine Bar,"2 Spring Gardens, SW1A 2TS, London",European,25,9.4,548,50,https://www.thefork.co.uk/restaurant/rockwell-bistro-wine-bar-r693231#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Pasta al fuoco,"29 Tooting High Street, SW17 0RJ, London",Italian,25,9.0,135,50,https://www.thefork.co.uk/restaurant/pasta-al-fuoco-r844000#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Amor Gastronomia,"139 Holloway Road, N7, London",Italian,25,9.4,823,30,https://www.thefork.co.uk/restaurant/amor-gastronomia-r811617#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Il Castelletto,"17 Bury Place, WC1A 2JB, London",Italian,22,8.9,965,50,https://www.thefork.co.uk/restaurant/il-castelletto-r747163#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Dell Boyz,"29 Tooting High Street, Broadway Market, SW17 0RJ, London",American,20,8.8,717,50,https://www.thefork.co.uk/restaurant/dell-boyz-r818283#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Haylaz brasserie,"153 Fortess Road, NW5 2HR, London",Mediterranean,30,9.3,76,20,https://www.thefork.co.uk/restaurant/haylaz-brasserie-r850849#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Sushi Circle - Fulham,"144 Wandsworth Bridge Road, SW6 2UH, London",Japanese,20,9.4,46,20,https://www.thefork.co.uk/restaurant/sushi-circle-fulham-r835000#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
The India - City Road,"20 City Road, EC1Y 2AJ, London",Indian,25,8.9,1122,30,https://www.thefork.co.uk/restaurant/the-india-city-road-r814003#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Bellillo,"255 Munster Road, SW6 6BW, London",Italian,25,9.7,1651,50,https://www.thefork.co.uk/restaurant/bellillo-r809230#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
The India - Monument,"2 Saint Mary at Hill, EC3R 8EE, London",Indian,22,9.0,1134,30,https://www.thefork.co.uk/restaurant/the-india-monument-r808596#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Amarcord Museum,"28 Museum Street, WC1A, London",Italian,25,8.4,268,50,https://www.thefork.co.uk/restaurant/amarcord-museum-r833710#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Avanti,"328 Uxbridge Road, W3 9QP, London",Mediterranean,30,9.6,147,50,https://www.thefork.co.uk/restaurant/avanti-r850403#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Bengal Village - Best of Brick Lane,"75 Brick Lane, E1 6QL, London",Indian,20,8.8,185,30,https://www.thefork.co.uk/restaurant/bengal-village-best-of-brick-lane-r840085#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Kendal Street Kitchen,"17-20 Kendal Street, W2 2AW, London",Mediterranean,27,9.6,2599,50,https://www.thefork.co.uk/restaurant/kendal-street-kitchen-r830836#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
